estimator,parameter,estimate,std.dev,ci.lb,ci.ub,pvalue
tmle,RR,0.273229315172384,0.0546786717221132,0.245462257370132,0.304137424096931,1.83130283605165e-124
iptw,RR,0.23484120613546,0.0595358835211779,0.208976411024121,0.263907260292608,8.22167672969406e-131
tmle,ATE,-0.00990687522952716,0.000530245415838757,-0.0109461371475386,-0.00886761331151573,6.73648073523299e-78
iptw,ATE,-0.00765886447750662,0.000411813369256377,-0.00846600384960121,-0.00685172510541203,3.34133829283043e-77
tmle,RR,0.147968447530306,0.0629792507077591,0.130785947143715,0.167408364145345,3.4610178864342e-202
iptw,RR,0.17141109652228,0.0641888896053625,0.151147598474101,0.194391206394225,3.34586050951289e-166
tmle,ATE,-0.0120867187913757,0.000575289226582467,-0.0132142649561713,-0.0109591726265802,5.33449638906834e-98
iptw,ATE,-0.00859931073092891,0.000410776280220868,-0.00940441744586514,-0.00779420401599267,2.60910567367798e-97
tmle,RR,0.651152435917143,0.171663285311024,0.465117431551641,0.91159665503475,0.0124493224972169
iptw,RR,1.64446162546109,0.0975595749834288,1.35825365577656,1.99097865565325,3.42252526158451e-07
tmle,ATE,-0.0047331657981539,0.00157442404994757,-0.00781898023244482,-0.00164735136386297,0.00264461887241143
iptw,ATE,0.00647271492582564,0.00152464551743571,0.00348446462246123,0.00946096522919006,2.18213481905483e-05
tmle,RR,0.0927443597248907,0.0718703986526525,0.0805584892501649,0.106773554728279,4.71567747023323e-240
iptw,RR,0.100625147181995,0.0723858803697454,0.0873155422723765,0.115963549923477,7.30558216663289e-221
tmle,ATE,-0.0127079958209998,0.000568696155022776,-0.0138226198029909,-0.0115933718390088,1.3251870553047e-110
iptw,ATE,-0.00888361512660669,0.000390889988905554,-0.00964974542677884,-0.00811748482643454,2.4434622765342e-114
tmle,RR,0.581749020566542,0.1888475477787,0.401780020584583,0.842331389295361,0.00412375085552223
iptw,RR,1.79910115408832,0.0930337884332447,1.49921900122806,2.1589674090247,2.74346233420482e-10
tmle,ATE,-0.00578593603896918,0.00159547868848778,-0.00891301680650642,-0.00265885527143194,0.00028733581853965
iptw,ATE,0.00774257214124985,0.00152146149436966,0.00476056240842083,0.0107245818740789,3.60138038669312e-07
tmle,RR,0.661085627228302,0.165547167849682,0.477907350683635,0.914474753114114,0.0124184866047954
iptw,RR,1.59585909728694,0.0986356395642457,1.31533305731334,1.9362139833963,2.15012930508358e-06
tmle,ATE,-0.00467538362997954,0.00155432352858889,-0.00772180176633697,-0.0016289654936221,0.0026298513220285
iptw,ATE,0.00603780453027181,0.00152216956062972,0.00305440701307439,0.00902120204746923,7.29118735383846e-05
tmle,RR,0.223625123424715,0.0571009405328973,0.199947594922936,0.250106513389137,1.19429722246681e-151
iptw,RR,0.257350835786325,0.0552736910656745,0.230927966827414,0.286797019823144,3.70806489327732e-133
tmle,ATE,-0.0104342474057051,0.000517207820578387,-0.0114479561065612,-0.00942053870484897,1.65054564357335e-90
iptw,ATE,-0.00753511452219508,0.000402000757659481,-0.00832302152896548,-0.00674720751542469,2.1658259953298e-78
tmle,RR,0.695582022780125,0.166775204646857,0.5016363944134,0.964512056547797,0.0295088890995276
iptw,RR,1.66335176980291,0.0987121503970705,1.37075604524969,2.01840372668392,2.53993584192378e-07
tmle,ATE,-0.00397847977085418,0.00155668812471147,-0.00702953243044985,-0.000927427111258516,0.0105964282507404
iptw,ATE,0.00649868102127404,0.00152515332950765,0.0035094354245377,0.00948792661801038,2.03512630348629e-05
tmle,RR,0.13926344832863,0.0725782080466906,0.120797643417417,0.160552039689747,1.81439780604813e-162
iptw,RR,0.0500136989064345,0.0886447875252343,0.0420372594620556,0.0595036429661005,2.61116578891413e-250
tmle,ATE,-0.0113085631669368,0.000509085393962869,-0.0123063522041594,-0.0103107741297142,2.54391636809773e-109
iptw,ATE,-0.00929106290659531,0.000390004879269499,-0.0100554584237584,-0.0085266673894322,1.93228392691077e-125
tmle,RR,0.676076786556225,0.16260100114468,0.491575015255058,0.929827202635658,0.0160657580546532
iptw,RR,1.69320277463746,0.093844401405097,1.40873229928183,2.03511741549587,2.00407287286822e-08
tmle,ATE,-0.00448687754252721,0.00158196995091161,-0.00758748167093856,-0.00138627341411586,0.00456453199191553
iptw,ATE,0.00708772226108726,0.00152592319657966,0.00409696775261688,0.0100784767695576,3.40282690335373e-06
tmle,RR,0.135369731361064,0.0667177189373091,0.118776723722325,0.154280768104083,2.19200720799504e-197
iptw,RR,0.10083641616643,0.0793010233114167,0.0863209574071338,0.117792748490172,4.8704176341761e-184
tmle,ATE,-0.0116964849909077,0.000514863908515601,-0.0127055997085378,-0.0106873702732776,2.99998190342242e-114
iptw,ATE,-0.0088362602498691,0.000389297970359576,-0.00959927025102841,-0.00807325024870979,4.69530916005002e-114
tmle,RR,0.187658960185098,0.0593481599310141,0.16705214645245,0.210807739293408,7.37935444326318e-175
iptw,RR,0.201925588995516,0.0605612571101029,0.179325282153715,0.227374205139882,8.70479485419825e-154
tmle,ATE,-0.0112974746990575,0.000578700956557395,-0.0124317077317289,-0.0101632416663862,7.12084635673834e-85
iptw,ATE,-0.00796748480738192,0.000411758581099085,-0.00877451679666144,-0.00716045281810239,2.04262669541278e-83
tmle,RR,0.577017987657099,0.187295928450331,0.399726341313907,0.8329442512731,0.00332583107602477
iptw,RR,1.60222675469425,0.100317139979231,1.31623633413851,1.95035686743771,2.61385602741487e-06
tmle,ATE,-0.00592772408516158,0.00158357775408013,-0.00903147944987746,-0.0028239687204457,0.000181656857827821
iptw,ATE,0.00599907473629309,0.00152570462707084,0.00300874861618813,0.00898940085639806,8.42411140212483e-05
tmle,RR,0.156964556889449,0.0629806032022716,0.138737035935876,0.17758684228261,5.22739585221641e-190
iptw,RR,0.126400830204497,0.0666279655950801,0.110926701554879,0.144033579403617,1.4412595624368e-211
tmle,ATE,-0.0117147797670017,0.000580838413164231,-0.012853202137641,-0.0105763573963624,1.84268590975351e-90
iptw,ATE,-0.00881856816341558,0.000393346304774467,-0.00958951275422544,-0.00804762357260571,2.54884559763634e-111
tmle,RR,0.204372304044563,0.0604870319402192,0.18152455725097,0.230095802424883,7.06320188427166e-152
iptw,RR,0.170643176737812,0.066729607987696,0.149723021260634,0.194486415796288,1.03045451166004e-154
