estimator,parameter,estimate,std.dev,ci.lb,ci.ub,pvalue
tmle,RR,0.568637039854905,0.184736870457344,0.395901216392778,0.816739301892296,0.00224485195754162
iptw,RR,1.44004146137025,0.105417804116049,1.1712327263267,1.77054428539503,0.000541579488027685
tmle,ATE,-0.00621003566090031,0.00158970250430578,-0.00932579531547276,-0.00309427600632786,9.36760732716148e-05
iptw,ATE,0.00460608129817449,0.00152988179456462,0.00160756808022433,0.00760459451612464,0.00260609105727596
tmle,RR,0.63494729404492,0.176809818447753,0.448990225345371,0.897921699531097,0.0102011000371303
iptw,RR,1.65162300271558,0.100196830054681,1.35713554846461,2.01001185635833,5.50763740436159e-07
tmle,ATE,-0.00491565223081739,0.00156429142197619,-0.00798160707921566,-0.00184969738241912,0.00167560575083723
iptw,ATE,0.00637823537872085,0.001528878934692,0.00338168773000257,0.00937478302743912,3.02152310792711e-05
tmle,RR,0.207351233664916,0.0593952783377606,0.184564967700335,0.232950676599526,1.28639347394542e-154
iptw,RR,0.178058371641477,0.0612213209250267,0.157924937812451,0.200758563851812,8.44606808723427e-175
tmle,ATE,-0.0104303602896883,0.000517293973601955,-0.0114442378473678,-0.00941648273200889,2.05641149749899e-90
iptw,ATE,-0.00791518182600094,0.000405582964270439,-0.00871010982871399,-0.00712025382328788,8.09646628758543e-85
tmle,RR,0.599585919915472,0.182035574854168,0.419664722563134,0.856644020886935,0.00495448570015151
iptw,RR,1.67209772138603,0.0977216343581452,1.3806412634649,2.02508128928992,1.43549897869998e-07
tmle,ATE,-0.00556476782753279,0.00158387206705293,-0.00866910003507554,-0.00246043561999004,0.000442419628304117
iptw,ATE,0.00663348078192259,0.0015267648997125,0.00364107656562618,0.009625884998219,1.39405671436813e-05
tmle,RR,0.714661696972686,0.154201884687894,0.528255009314394,0.966846186243939,0.0293605411281516
iptw,RR,1.62919854795654,0.0998799114202154,1.33954121217974,1.98149029274327,1.02513879032463e-06
tmle,ATE,-0.003952342187269,0.00157755393562253,-0.00704429108475857,-0.000860393289779431,0.0122326451313145
iptw,ATE,0.00624090945509841,0.00152788399022745,0.00324631186169725,0.00923550704849957,4.41385612162341e-05
tmle,RR,0.7380120982067,0.160116112939191,0.539227954684103,1.01007718974536,0.0577827860654898
iptw,RR,1.84152236376256,0.0944162114337101,1.53041696922601,2.21586971683457,9.99469073987871e-11
tmle,ATE,-0.00336398899564695,0.0015522218292837,-0.00640628787705989,-0.000321690114234016,0.0302189274758891
iptw,ATE,0.00788157046865066,0.00151987875646748,0.00490266284510688,0.0108604780921944,2.15254237938486e-07
tmle,RR,0.744176332311128,0.153768197703608,0.550539046652379,1.00592031925707,0.0546591405809856
iptw,RR,1.75576508147374,0.0971851928486143,1.45124996217718,2.12417646970875,6.95187592712054e-09
tmle,ATE,-0.00340231353270593,0.00155830829585953,-0.0064565416694006,-0.000348085396011256,0.0290109368551581
iptw,ATE,0.00721726261703573,0.00152757686892549,0.00422326697032531,0.0102112582637462,2.30514569050749e-06
tmle,RR,0.670768452796252,0.170759985078759,0.47997814847907,0.937397501724597,0.019358578458749
iptw,RR,1.52614070190234,0.105935212793287,1.24000192238208,1.87830792836892,6.5914036020179e-05
tmle,ATE,-0.00437893223067292,0.00157506104139298,-0.0074659951452553,-0.00129186931609053,0.00543310032515109
iptw,ATE,0.00516846230392479,0.00152663014642129,0.00217632219922596,0.00816060240862363,0.00071039223818865
tmle,RR,0.726518847328208,0.152755331269215,0.538544148569307,0.980104670945432,0.0364814618933418
iptw,RR,1.781392252491,0.0920874323751978,1.48721786819729,2.13375486207779,3.60871337796829e-10
tmle,ATE,-0.00378126825696177,0.00158618866698024,-0.00689014091692863,-0.000672395596994901,0.0171316331079024
iptw,ATE,0.00775198387554397,0.00152268825137877,0.00476756974315932,0.0107363980079286,3.56207186737968e-07
tmle,RR,0.585810887375846,0.184225056819306,0.40826747814349,0.840562655954349,0.00369908358748388
iptw,RR,1.43910504571417,0.106998709427221,1.16684999666163,1.77488395125783,0.000668676148594336
tmle,ATE,-0.0058264441705384,0.00158976561031526,-0.00894232751061666,-0.00271056083046014,0.000247367029204993
iptw,ATE,0.0045374790533374,0.0015331216144349,0.00153261590512511,0.00754234220154971,0.00308004592075256
tmle,RR,0.17594102493828,0.0560100377390507,0.157649024240033,0.196355444669297,2.6293549151062e-211
iptw,RR,0.12294312750346,0.06533395362542,0.108166280174079,0.139738674344782,7.90084867125926e-226
tmle,ATE,-0.0120624032379763,0.000544903629507687,-0.0131303947268565,-0.0109944117490961,1.39928402487539e-108
iptw,ATE,-0.0093972676901024,0.000424230643256505,-0.0102287444720234,-0.00856579090818139,1.01312495734043e-108
tmle,RR,0.669471452630489,0.163948491631106,0.485488395591039,0.923177628873173,0.0143844255941538
iptw,RR,1.63329633696541,0.100156986086423,1.34218137184683,1.98755323259626,9.66629788850636e-07
tmle,ATE,-0.00459441276638029,0.0015824169260596,-0.00769589294998368,-0.0014929325827769,0.0036911735707632
iptw,ATE,0.00620755197473082,0.00152457797246431,0.00321943405707767,0.00919566989238397,4.66807505178644e-05
tmle,RR,0.644563401104439,0.165498952188149,0.466007255765579,0.891535427620716,0.00796181103747895
iptw,RR,1.68446216091155,0.0945044457088873,1.39964832767105,2.02723263797565,3.43482872285784e-08
tmle,ATE,-0.00508003628819918,0.00159225215464408,-0.00820079316560788,-0.00195927941079047,0.00142040489151073
iptw,ATE,0.00700022371387969,0.00152898615885586,0.00400346590966197,0.00999698151809742,4.68672802336469e-06
tmle,RR,0.732480914614575,0.151095539393076,0.544732838552552,0.984938399712143,0.0393598464411776
iptw,RR,1.71380806583075,0.0960746110574812,1.41965666354446,2.06890733649176,2.05523741094453e-08
tmle,ATE,-0.00367675504515446,0.00156114108560424,-0.00673653534772453,-0.000616974742584386,0.0185141570340707
iptw,ATE,0.00703769201402786,0.00152746185453264,0.00404392179138513,0.0100314622366706,4.07652717160744e-06
tmle,RR,0.561882235699605,0.201703447135209,0.378403388132051,0.834325634221364,0.00426356733748285
