estimator,parameter,estimate,std.dev,ci.lb,ci.ub,pvalue
tmle,RR,0.148597229705388,0.0643829987901809,0.130980850173758,0.168582939008437,1.04393496079751e-192
iptw,RR,0.209374679806342,0.0604239637033601,0.185990682920496,0.235698669716412,1.18896672100309e-147
tmle,ATE,-0.0121419071354292,0.000598678897815321,-0.0133152962134514,-0.010968518057407,1.88600493816243e-91
iptw,ATE,-0.00812127315228774,0.000410366090546884,-0.00892557591023614,-0.00731697039433935,3.60798167218716e-87
tmle,RR,0.163614750891826,0.0656187421335245,0.1438691510455,0.18607037377268,1.58257492466698e-167
iptw,RR,0.172846475070688,0.0641000959891315,0.152439819757191,0.195984907302755,4.19118837033739e-165
tmle,ATE,-0.01114173763939,0.000517633658786686,-0.0121562809677976,-0.0101271943109824,9.20659542861753e-103
iptw,ATE,-0.00797276018828428,0.000402029506191226,-0.00876072354114151,-0.00718479683542705,1.59914226495596e-87
tmle,RR,0.245143558076457,0.0586223177203834,0.218535038042241,0.274991894227822,4.23197990028122e-127
iptw,RR,0.203791936439955,0.0615053021622048,0.180648178925428,0.229900758507458,1.77903769872923e-147
tmle,ATE,-0.0103408687064758,0.000577363613366988,-0.011472480594659,-0.00920925681829256,9.76613659577222e-72
iptw,ATE,-0.00792778711716951,0.00040318252511025,-0.00871801034558151,-0.0071375638887575,4.47267794333326e-86
tmle,RR,0.569613278793199,0.192176046586365,0.390840497632416,0.8301577992634,0.00340544516459475
iptw,RR,1.60062266623425,0.101312244455832,1.31235649138728,1.95220805968246,3.43386860705732e-06
tmle,ATE,-0.00590987176086186,0.00156005221730076,-0.00896751792077321,-0.00285222560095051,0.000151710603692056
iptw,ATE,0.00592405645129697,0.00152292764162176,0.00293917312265779,0.00890893977993614,0.000100280053050006
tmle,RR,0.721280141145993,0.153828925120796,0.533537017296319,0.975087060777729,0.0336728426164811
iptw,RR,1.68343111712052,0.0957518668051581,1.39537588685489,2.03095119586537,5.34561131941316e-08
tmle,ATE,-0.00383330371270304,0.00157381802214736,-0.00691793035433193,-0.000748677071074158,0.0148641762759286
iptw,ATE,0.00682264367005157,0.00152293169931979,0.0038377523884704,0.00980753495163275,7.46637873609568e-06
tmle,RR,0.5875895913686,0.183910089750484,0.409759981799629,0.842594551006081,0.00383735973795321
iptw,RR,1.49832981986532,0.106413801324131,1.2162639404502,1.84581008647403,0.000144813613529682
tmle,ATE,-0.00576679526481448,0.00156858499289995,-0.00884116535758841,-0.00269242517204056,0.000236519335170977
iptw,ATE,0.00497406415640462,0.00152825802099165,0.00197873347617654,0.00796939483663271,0.00113501017727902
tmle,RR,0.256008627057526,0.0584294290203951,0.228307080446696,0.287071329542849,2.81266614044114e-120
iptw,RR,0.228110138251174,0.058453502673793,0.203417763941161,0.255799858207174,4.81482185059492e-141
tmle,ATE,-0.010778143544188,0.000650903657099961,-0.0120538912695094,-0.00950239581886671,1.38466480530152e-61
iptw,ATE,-0.00776680365447003,0.000407552550895343,-0.00856559197603233,-0.00696801533290773,5.72764930899834e-81
tmle,RR,0.670603626783907,0.167576529147387,0.482863633022117,0.931337946163222,0.0171048991784201
iptw,RR,1.60165093971884,0.0996730044115177,1.31742547677288,1.9471960865567,2.29208329012991e-06
tmle,ATE,-0.00443444286965415,0.00155842225605231,-0.00748889436422234,-0.00137999137508597,0.00443460175338865
iptw,ATE,0.00604827743916473,0.00152566440831174,0.0030580301463791,0.00903852473195036,7.35942364950065e-05
tmle,RR,0.121928521906516,0.0712976094663597,0.106027048944896,0.140214828218355,1.87045171517797e-191
iptw,RR,0.113041504855715,0.0690735605208951,0.0987284705216559,0.129429553122082,1.28452122954945e-218
tmle,ATE,-0.0119839387026377,0.000533728907242196,-0.0130300281383403,-0.0109378492669351,1.18998849677143e-111
iptw,ATE,-0.00882834778468832,0.000417020281528513,-0.00964569251730696,-0.00801100305206968,1.80296510829835e-99
tmle,RR,0.149200921235177,0.0672572295402058,0.130774192518352,0.170224066910615,5.08762581713262e-176
iptw,RR,0.109882680454006,0.0745861484916068,0.0949382889491099,0.127179493093976,1.18102737006023e-192
tmle,ATE,-0.0116667876273317,0.000559968110135224,-0.0127643049556877,-0.0105692702989757,2.09668522261927e-96
iptw,ATE,-0.00901333704282473,0.000392770740825072,-0.00978315354902299,-0.00824352053662647,1.53973693142519e-116
tmle,RR,0.679041503325316,0.168132747098251,0.488406534205789,0.944085164601877,0.0213246272833871
iptw,RR,1.68418969951811,0.100432044416189,1.38325769766958,2.0505903916108,2.09819520609778e-07
tmle,ATE,-0.00428054803336469,0.00157860794280517,-0.00737456274697168,-0.00118653331975769,0.00669600140253977
