estimator,parameter,estimate,std.dev,ci.lb,ci.ub,pvalue
tmle,RR,0.647264356699246,0.168924580905808,0.464828585726511,0.901302459267823,0.0100206321640913
iptw,RR,1.6066942385961,0.101656301525604,1.316446564946,1.96093517585637,3.09324210579412e-06
tmle,ATE,-0.00493007789524779,0.00158601404765479,-0.00803860830762576,-0.00182154748286981,0.00188058412882622
iptw,ATE,0.00598675773437747,0.00153370568370522,0.00298074983143086,0.00899276563732409,9.48274976965246e-05
tmle,RR,0.593009171714769,0.184749958903126,0.412859193881585,0.851767098684735,0.00467823979088255
iptw,RR,1.54936168873715,0.104702751476169,1.2619137405788,1.90228663444571,2.89245974126472e-05
tmle,ATE,-0.00565346165039901,0.00159827382423843,-0.00878602078333942,-0.00252090251745859,0.000404347826178939
iptw,ATE,0.00541228783730273,0.00152816303859527,0.00241714331915072,0.00840743235545475,0.000397564441802384
tmle,RR,0.682875924796487,0.168529812384664,0.490782383321113,0.950155393743116,0.0236140685769922
iptw,RR,1.61824533213422,0.0994497331406688,1.3316576754791,1.96650986450555,1.29801520007982e-06
tmle,ATE,-0.00417217595651613,0.00155784694134494,-0.00722549985497809,-0.00111885205805416,0.0074026060129767
iptw,ATE,0.00619168379641188,0.00152739473720119,0.00319804512132154,0.00918532247150223,5.04020390734822e-05
tmle,RR,0.25686994096203,0.0548560650326205,0.230685192656043,0.28602688282736,1.57499811752539e-135
iptw,RR,0.239260128869727,0.0586436866096508,0.21328127867173,0.268403348025999,2.29129367739061e-131
tmle,ATE,-0.010216417223578,0.000579399005461341,-0.0113520184069606,-0.00908081604019545,1.38002602778762e-69
iptw,ATE,-0.00747943752717639,0.000413236961642649,-0.00828936708907674,-0.00666950796527604,3.20795589906245e-73
tmle,RR,0.688659909470053,0.165501675880441,0.497885546775019,0.952533115257516,0.0242087326972769
iptw,RR,1.59172173406347,0.101934877490852,1.30346694227941,1.94372254217623,5.11697761466966e-06
tmle,ATE,-0.00416377438560669,0.00157506497701902,-0.00725084501387437,-0.00107670375733902,0.00820398987297447
iptw,ATE,0.0058331251817376,0.00152641540896319,0.00284140595472277,0.00882484440875242,0.000132667546139755
tmle,RR,0.613078223067716,0.175113455141092,0.434969741749266,0.864117366160452,0.00520643854688035
iptw,RR,1.59059469251425,0.100299936716431,1.30672460294167,1.93613212008027,3.70640777032853e-06
tmle,ATE,-0.00547738752375725,0.00158783218981829,-0.00858948142929445,-0.00236529361822004,0.000561415654375285
iptw,ATE,0.00593640762264527,0.00152728769152075,0.00294297875323327,0.00892983649205726,0.000101534446527334
tmle,RR,0.134669920681614,0.0612341416917544,0.119439508733235,0.151842449192405,3.94597260699419e-235
iptw,RR,0.137632760264959,0.0655072354165019,0.121049210145956,0.156488230491643,2.52131267732264e-201
tmle,ATE,-0.0118422952406636,0.0005709885122293,-0.0129614121602192,-0.0107231783211081,1.50961342559461e-95
iptw,ATE,-0.00842342166787094,0.000406902162877223,-0.00922093525234175,-0.00762590808340014,3.36844471132005e-95
tmle,RR,0.199926617316407,0.0587776108773352,0.178171823523712,0.22433767315774,3.80502765566271e-165
iptw,RR,0.152692993104394,0.0588811177173637,0.136050270626824,0.171371582252345,1.5368332920521e-223
tmle,ATE,-0.0108914462052736,0.000514705887122024,-0.0119002512066635,-0.00988264120388373,2.2075637032767e-99
iptw,ATE,-0.00836630083270236,0.000385067114146767,-0.0091210185080608,-0.00761158315734393,1.14349710876904e-104
tmle,RR,0.167028417932888,0.0663224441804559,0.14666841567683,0.190214725293244,2.32771575448219e-160
iptw,RR,0.149657425906547,0.069802380295075,0.13052159649867,0.171598767788608,4.78718732783352e-163
tmle,ATE,-0.0115527888878327,0.000596029993066985,-0.0127209862079496,-0.0103845915677157,1.07611559575904e-83
iptw,ATE,-0.00824041045751153,0.000415725291690676,-0.00905521705668766,-0.00742560385833539,1.93198932299654e-87
tmle,RR,0.151732586857743,0.066179714106494,0.133274354365834,0.172747247766406,1.44463151775725e-178
iptw,RR,0.125107388898936,0.0686239682768494,0.109362928804397,0.143118503941166,1.57821599883843e-201
tmle,ATE,-0.0110796442967231,0.000510022282138678,-0.0120792696010279,-0.0100800189924184,1.22121874318926e-104
iptw,ATE,-0.00870084748567578,0.00040560459153101,-0.00949581787704064,-0.00790587709431092,4.41679646714238e-102
tmle,RR,0.691939270466423,0.162223211781498,0.50348128405364,0.950938930954575,0.0232036950989052
