estimator,parameter,estimate,std.dev,ci.lb,ci.ub,pvalue
tmle,RR,0.697572877079894,0.166534122496424,0.503309912809502,0.966815686425191,0.0305712213765907
iptw,RR,1.7575432581648,0.0954418400428013,1.45769203757581,2.11907469115189,3.45262150062819e-09
tmle,ATE,-0.00394359937522978,0.00155789937265287,-0.00699702603716695,-0.000890172713292614,0.0113622159673407
iptw,ATE,0.00736792697774907,0.00152533338437288,0.00437832847996165,0.0103575254755365,1.3627851022884e-06
tmle,RR,0.205125512996646,0.0643157363990168,0.180831475565569,0.232683364168426,5.9446941678732e-134
iptw,RR,0.157297670598757,0.0648873523523661,0.138512853674881,0.178630044211428,1.01507747569658e-178
tmle,ATE,-0.0105437559851352,0.000604739569637218,-0.0117290237616504,-0.00935848820861999,4.45988406973677e-68
iptw,ATE,-0.00793455955044412,0.00038067733195134,-0.00868067341079954,-0.00718844569008869,1.75444563519259e-96
tmle,RR,0.568050317086988,0.193438617508153,0.388804745370625,0.829931132746424,0.00345962322505658
iptw,RR,1.51036424561511,0.102411280190025,1.23568864654928,1.84609623209119,5.66324545573188e-05
tmle,ATE,-0.00593346552182955,0.00156857965365753,-0.00900782514988062,-0.00285910589377848,0.000155136642813982
iptw,ATE,0.005304481001594,0.00153581571340165,0.00229433751643608,0.00831462448675191,0.000552639464817909
tmle,RR,0.190293923222818,0.0625104889488132,0.168351075519469,0.215096797592744,3.13381006838258e-155
iptw,RR,0.186335338798923,0.0632771150683689,0.16460144723399,0.210938962377116,2.3612595435553e-155
tmle,ATE,-0.0112052989106622,0.000588664735018942,-0.0123590605902681,-0.0100515372310562,8.73063870461291e-81
iptw,ATE,-0.0082240071875714,0.000409974506630203,-0.00902754245514618,-0.00742047191999663,1.65744590309584e-89
tmle,RR,0.711864674963532,0.153130288725248,0.527293847876018,0.961041585260608,0.0264550469442346
iptw,RR,1.67325472440487,0.0979990556576021,1.3808455747878,2.0275847088647,1.49793993106973e-07
tmle,ATE,-0.00405404045720354,0.00158780871825366,-0.00716608835931943,-0.000941992555087658,0.010672906837417
iptw,ATE,0.00664831438315375,0.00152909069359039,0.00365135169462122,0.00964527707168628,1.37455046148815e-05
tmle,RR,0.16097449314986,0.05894974452221,0.143409840512446,0.180690441829236,8.80673388433722e-211
iptw,RR,0.175217793648419,0.063402535156132,0.154742593573934,0.198402227220985,3.90925932411013e-166
tmle,ATE,-0.0117050326219428,0.00052926298436266,-0.0127423690096438,-0.0106676962342418,2.23114052445183e-108
iptw,ATE,-0.00785641278520977,0.000395193099735179,-0.00863097702762947,-0.00708184854279008,6.07135171188544e-88
tmle,RR,0.713130142896867,0.157608364206591,0.523615279301407,0.971237129265221,0.0319419897135054
iptw,RR,1.69707605489378,0.095342333191787,1.40781557184654,2.04577019439857,2.89866428223652e-08
tmle,ATE,-0.0038937662485089,0.0015746266527283,-0.00697997777695322,-0.000807554720064579,0.0134052125466043
iptw,ATE,0.00695038143805036,0.00152398825986174,0.00396341933585947,0.00993734354024125,5.09948207662344e-06
tmle,RR,0.623820323868392,0.183401126491713,0.435459929505744,0.893656959236091,0.0100818354830088
iptw,RR,1.69809985865422,0.101877533248324,1.39073669025066,2.07339257688078,2.01971436057596e-07
tmle,ATE,-0.00499991381514137,0.00158232529880709,-0.00810121441262985,-0.0018986132176529,0.00157849280050869
iptw,ATE,0.0065024924598396,0.00152542383351773,0.00351271668498582,0.00949226823469337,2.01931121039894e-05
tmle,RR,0.701277714926258,0.162794803798394,0.50970494848281,0.964853166358418,0.0292763045875453
iptw,RR,1.8033370576043,0.0945001788737178,1.49843603714856,2.17027918623565,4.38823210979877e-10
tmle,ATE,-0.00399774715084468,0.00157789102935254,-0.0070903567399045,-0.000905137561784868,0.0112897024315901
iptw,ATE,0.00768277103222541,0.00152406664304476,0.00469565530181882,0.010669886762632,4.63183152440478e-07
