estimator,parameter,estimate,std.dev,ci.lb,ci.ub,pvalue
tmle,RR,0.212389088605176,0.0592674667107785,0.189096566024416,0.23855073577969,1.23397439253201e-150
iptw,RR,0.151149172127242,0.0663893134364255,0.13270738355623,0.172153738718468,3.58998298423751e-178
tmle,ATE,-0.0106820791074587,0.000529365368666075,-0.011719616164707,-0.00964454205021045,1.49657205365112e-90
iptw,ATE,-0.00845020453612115,0.000410082987741497,-0.00925395242276706,-0.00764645664947523,2.42038959072439e-94
tmle,RR,0.544416983573149,0.200473639390811,0.367526106453951,0.80644571038118,0.00242122538231129
iptw,RR,1.7235819055298,0.0972845079873521,1.42437126203128,2.08564625267237,2.19346916211764e-08
tmle,ATE,-0.0063130360952089,0.00158946145256628,-0.00942832329705352,-0.00319774889336427,7.1329128544694e-05
iptw,ATE,0.0069511215711953,0.00152019557930109,0.00397159298630817,0.00993065015608243,4.81897930518611e-06
tmle,RR,0.60201307345126,0.177987642525091,0.424719857485941,0.853314800846649,0.00435562955390664
iptw,RR,1.47314413424532,0.1032985207983,1.20314336534996,1.80373653112416,0.000176633081525209
tmle,ATE,-0.00564094041594565,0.00158828952280136,-0.00875393067765863,-0.00252795015423267,0.000382922712974272
iptw,ATE,0.004946145584032,0.00152950919512103,0.00194836264757193,0.00794392852049206,0.00122149723733568
tmle,RR,0.228044357580197,0.0616848464805245,0.202075235964855,0.257350826665417,6.60477066446678e-127
iptw,RR,0.18631595979825,0.0602281179969035,0.165570816739333,0.209660358988229,2.73465851259322e-171
tmle,ATE,-0.00996149224311836,0.000554228888010394,-0.0110477609028104,-0.0088752235834263,3.13642631421002e-72
iptw,ATE,-0.00757731897446872,0.000374369483024224,-0.00831106967810708,-0.00684356827083036,4.33271633359515e-91
tmle,RR,0.641861151594331,0.176133008516245,0.454481701619307,0.906495765303875,0.0118251129861436
iptw,RR,1.62177965373459,0.0990740270988356,1.33554917332216,1.96935410376915,1.05853460850879e-06
tmle,ATE,-0.00479077255183846,0.00155952112488357,-0.00784737778973964,-0.00173416731393728,0.00212664598778333
iptw,ATE,0.0062086839324063,0.00152662821426683,0.00321654761466062,0.00920082025015198,4.76373677625033e-05
tmle,RR,0.23285271796056,0.0595948554311442,0.207182981549395,0.261702905596487,4.53182406019845e-132
iptw,RR,0.279528736770206,0.0559685825742106,0.250487419102277,0.311937082350805,8.22830738373503e-115
tmle,ATE,-0.0107151296414473,0.000598600921978555,-0.0118883658896377,-0.00954189339325682,1.17311084548195e-71
iptw,ATE,-0.00711999465431152,0.000407179370129881,-0.00791805155501379,-0.00632193775360925,1.82728522733534e-68
tmle,RR,0.221628649206317,0.0612026141101531,0.196575839897098,0.249874339464755,7.89238032076787e-134
iptw,RR,0.244161141670357,0.0594119207440463,0.217322668141352,0.2743140584994,1.71086804647363e-124
tmle,ATE,-0.0105361510653057,0.000581717066077744,-0.0116762955640104,-0.00939600656660103,2.55534874007497e-73
iptw,ATE,-0.00706523879530335,0.000391948181868212,-0.007833443115571,-0.0062970344750357,1.21897522742099e-72
tmle,RR,0.614923288888982,0.185913180966369,0.427141093148167,0.885259361095647,0.00890943564706829
iptw,RR,1.58346836050438,0.102406643561971,1.29550978349971,1.93543273902957,7.18402923945812e-06
tmle,ATE,-0.00511145678160621,0.00156922541729884,-0.00818708208313677,-0.00203583148007565,0.00112472734378719
iptw,ATE,0.00578091944969521,0.00153219386933528,0.002777874648465,0.00878396425092542,0.000161316558317492
tmle,RR,0.219378519984746,0.0562531454906137,0.196476827948046,0.244949674388188,3.64306166593871e-160
iptw,RR,0.212261358171632,0.0593967604465825,0.188934959397658,0.23846769447277,4.19428221598919e-150
tmle,ATE,-0.0107114215173855,0.000565212365663449,-0.0118192173977025,-0.00960362563706845,4.32078629072152e-80
iptw,ATE,-0.00787696646855838,0.000415577768055682,-0.00869148392672306,-0.00706244901039371,4.07290187908384e-80
tmle,RR,0.153341502235501,0.0630467538902614,0.135517137437756,0.173510278865211,2.25189132941023e-194
iptw,RR,0.16762418359914,0.059631920029147,0.149134421297122,0.188406316146817,4.28030909110217e-197
tmle,ATE,-0.0112552257317423,0.000522576601084023,-0.0122794570490304,-0.0102309944144543,6.86880556868297e-103
iptw,ATE,-0.00809725962815819,0.000398483888863965,-0.00887827369875103,-0.00731624555756536,8.52837691518057e-92
tmle,RR,0.660539743698938,0.173408637252596,0.470211508080627,0.927907432097653,0.0167819962150239
iptw,RR,1.60223527149459,0.10418004588086,1.30631547664588,1.96518981143272,6.04366597872761e-06
tmle,ATE,-0.00451947800341608,0.00158252870614246,-0.00762117727195608,-0.00141777873487608,0.00429206416715888
iptw,ATE,0.00579978054902183,0.00152915220609451,0.00280269729819663,0.00879686379984703,0.000148953392590333
tmle,RR,0.22502697595472,0.059358841802739,0.200312589927819,0.252790600558719,2.49476344667411e-139
iptw,RR,0.198463687860979,0.0595282081232257,0.176608074079993,0.223023978969046,1.63433590061503e-162
tmle,ATE,-0.0100260331767611,0.000508457365672379,-0.0110225913011531,-0.0090294750523691,1.49503080208457e-86
iptw,ATE,-0.00749263362994555,0.000378366946561942,-0.00823421921814734,-0.00675104804174375,2.8295086516964e-87
tmle,RR,0.629213546768662,0.171687631937782,0.449425062010821,0.88092481016928,0.00696704097129238
iptw,RR,1.54781822849093,0.10132686753411,1.26902556432852,1.8878589492533,1.62327812472457e-05
tmle,ATE,-0.00521344264100486,0.00158631110507488,-0.00832255527522755,-0.00210433000678218,0.00101433691393365
iptw,ATE,0.00559557471612607,0.00152875194532935,0.002599275961985,0.00859187347026714,0.000251994757754176
tmle,RR,0.157774814140909,0.0646450738314228,0.138999004742783,0.179086836076722,1.8293184416573e-179
iptw,RR,0.128762869997132,0.0738966183100912,0.111401164997277,0.148830370762313,2.39705663167457e-169
tmle,ATE,-0.0118574827584461,0.000586930173536816,-0.0130078447600181,-0.0107071207568741,9.29812439355498e-91
iptw,ATE,-0.00848873142339857,0.000401004793432763,-0.0092746863761547,-0.00770277647064243,1.85790949112893e-99
tmle,RR,0.204701040698329,0.0600396121945836,0.1819760525683,0.230263902703637,8.22358968294736e-154
iptw,RR,0.18642516460872,0.0612456165749444,0.165337806594709,0.210202026476505,1.34152006487272e-165
tmle,ATE,-0.0107297377390189,0.000561279102670519,-0.011829824565528,-0.00962965091250969,1.8376398414161e-81
iptw,ATE,-0.00789508717357337,0.00038540708308386,-0.00865047117580437,-0.00713970317134237,2.92624030474858e-93
tmle,RR,0.633389352835037,0.176746698670974,0.447943971347839,0.895607705306653,0.00977315307693469
iptw,RR,1.66469321975978,0.0964104565203023,1.37806429754,2.01093919990605,1.24912383293806e-07
