estimator,parameter,estimate,std.dev,ci.lb,ci.ub,pvalue,V8,TCP,analysis,outcome
tmle,ATE,-0.048398,0.003285,-0.054837,-0.04196,0,6,TCP1,crude,MACE
tmle,RR,0.609644,0.040101,0.563563,0.659493,0,6,TCP1,crude,MACE
iptw,ATE,-0.033744,0.003112,-0.039843,-0.027645,0,6,TCP1,crude,MACE
iptw,RR,0.653966,0.045663,0.59798,0.715193,0,6,TCP1,crude,MACE
tmle,ATE,-0.018088,0.004391,-0.026693,-0.009482,0,6,TCP1,GLP1 only,MACE
tmle,RR,0.847489,0.042952,0.779064,0.921925,0,6,TCP1,GLP1 only,MACE
iptw,ATE,-0.011069,0.004264,-0.019427,-0.002712,0,6,TCP1,GLP1 only,MACE
iptw,RR,0.881711,0.051039,0.797777,0.974475,0,6,TCP1,GLP1 only,MACE
