estimator,parameter,estimate,std.dev,ci.lb,ci.ub,pvalue,V8,TCP,analysis,outcome
tmle,ATE,-0.050703,0.003169,-0.056914,-0.044493,0,6,TCP1,crude,MACE
tmle,RR,0.592895,0.039415,0.548817,0.640513,0,6,TCP1,crude,MACE
iptw,ATE,-0.051706,0.003238,-0.058052,-0.045361,0,6,TCP1,crude,MACE
iptw,RR,0.582385,0.041245,0.537159,0.631419,0,6,TCP1,crude,MACE
tmle,ATE,-0.019729,0.004278,-0.028114,-0.011344,0,6,TCP1,GLP1 only,MACE
tmle,RR,0.833842,0.042449,0.767275,0.906185,0,6,TCP1,GLP1 only,MACE
iptw,ATE,-0.023247,0.004548,-0.032162,-0.014332,0,6,TCP1,GLP1 only,MACE
iptw,RR,0.804088,0.046718,0.733731,0.881192,0,6,TCP1,GLP1 only,MACE
